full_text,sentiment,clean_full_text,word_count,text_preprocessed
@aewin86 Kapan lagi punya presiden hebat kayak pak Anis capek lihat Ganjar dan Prabowo yg goblok,negatif,  Kapan lagi punya presiden hebat mirip  pak Anis capai  lihat Ganjar dan Prabowo yang bodoh ,15,presiden hebat anies capai lihat ganjar prabowo bodoh
Tujuannya counter Anies kemaren biar Anies ngomongin adab (tp jdnya ga valid karena Anies duluan) kira2 begitu https://t.co/OAD4yAaFBa,netral, Tujuannya menangkal Anies kemarin biar Anies omongi adab (tp jadinya  tidak valid karena Anies duluan) kira kira begitu  ,18,tuju tangkal anies kemarin biar anies omong adab valid anies dulu
@berlianidris @YantoThobenk Doa sepertiga malam dok..itu yg bisa sy lakukan saat ini..sy sebut aja nama pak Anies dan pk Muhaimin..In Syaa Allah diijabah Allah Azza Wajallah..Aamiin Yaa Robbal'alamin,netral,   Doa sepertiga malam dok..itu yang bisa saya lakukan saat ini..sy sebut saja nama pak Anies dan pak Muhaimin..In Syaa Allah diijabah Allah Azza Wajallah..Aamiin Yaa Robbal'alamin ,26,doa tiga malam dok laku nama anies muhaiminkan allah diijabah allah azza wajallahaamiin iya rabbal alamin
@FayaAtika sudah budhe. pakai etika pas duo cawapres diserang bocil sendirian. pakai gaya amrik waktu duo capres membully Prabowo.,netral,  sudah budhe. pakai etika pas duo cawapres diserang bocil sendirian. pakai gaya amerika waktu duo capres merundung Prabowo. ,18,bude pakai etika pas duo cawapres serang bocil pakai gaya amerika duo capres rundung prabowo
Ganjar-Mahfud memahami bahwa petugas pajak yang berintegritas adalah kunci utama untuk memberikan pelayanan yang baik kepada wajib pajak. @ssungbeann Hebat ! Sat Set https://t.co/VRBTs9OoH4,positif, Ganjar-Mahfud memahami bahwa petugas pajak yang berintegritas adalah kunci utama untuk memberikan pelayanan yang baik kepada wajib pajak.  Hebat ! Sat Set  ,22,ganjar mahfud paham petugas pajak integritas kunci utama pelayanan wajib pajak hebat sat set
@Dennysiregar7 KPU debat kelima suruh menemukan seluruh paslon. Biar ada kesempatan gibran vs anies vs ganjar biar greget pilpres 2024,netral,  KPU debat ke lima suruh menemukan seluruh paslon. Biar ada kesempatan gibran versus anies versus ganjar biar gereget pilpres 2024 ,20,kpu debat suruh temu paslon biar sempat gibran versus anies versus ganjar biar gereget pilpres
@DrEliDavid 12.500 belum yang mati lohh https://t.co/M8y3WwoFwl,netral,  12.500 belum yang mati lo  ,5,mati lo
@VIVAcoid Kami juga yakin Prabowo Gibran bakal menang satu putaran,netral,  Kami juga yakin Prabowo Gibran bakal menang satu putaran ,9,prabowo gibran menang putar
@JackRey829815 @ekowboy2 kata ridwan kamil pendukung prabowo otaknya menengah kebawah dan elu contohnyaa ,netral,   kata ridwan kamil pendukung prabowo otaknya menengah ke bawah dan kamu contohnya  ,12,ridwan kamil dukung prabowo otak tengah contoh
Nyerang sama adab itu dua hal yang berbeda. Gibran nyerangnya ngece pake gegayaan sih pantes aja dianggap ga beradab. Anies dan Ganjar nyerang B aja pake kritik kata-kata aja dianggap pendukung 02 ga beradab apalagi Gibran yang lebih parah gini? Pendukung 02 jangan standar ganda,netral, Nyerang sama adab itu dua hal yang berbeda. Gibran serangnya kece pakai gegayaan sih pantas saja dianggap tidak beradab. Anies dan Ganjar serang B saja pakai kritik kata kata saja dianggap pendukung 02 tidak beradab apalagi Gibran yang lebih parah gini? Pendukung 02 jangan standar ganda ,46,serang adab beda gibran serang kece pakai gegayaan sih anggap adab anies ganjar serang b pakai kritik anggap dukung adab gibr parah dukung standar ganda
@amayeorobun Cocok disebut abah anies sangat bangga dengan gus imin seperti memeluk anaknya sendiri,positif,  Cocok disebut abah anies sangat bangga dengan gus imin seperti memeluk anaknya sendiri ,13,cocok abah anies bangga gus imin peluk anak
@realfedinuril Ketika bahtera rumah tangga sedang di uji oleh para grongi saatnya henshin! https://t.co/hNlguGmRfe https://t.co/UT4KGK20qg,netral,  Ketika bahtera rumah tangga sedang di uji oleh para grogi saatnya henshin!   ,12,bahtera rumah tangga uji grogi henshin
@Dahnilanzar @gibran_tweet dahnil juga ngomongnya kosong gk ada isinya...,netral,   dahnil juga mengomongnya kosong tidak ada isinya... ,7,dahnil omong kosong isi
Gw gak tahu apakah debat kemaren menaikkan elektabilitas anies tapi gue yakin debat kemaren menurunkan drastis elektabilitas prabowo #debat,netral, Gw tidak tahu apakah debat kemarin menaikkan elektabilitas anies tapi saya yakin debat kemarin menurunkan drastis elektabilitas prabowo  ,18,debat kemarin naik elektabilitas anies debat kemarin turun drastis elektabilitas prabowo
Kombinasi visi Ganjar-Mahfud menciptakan momentum positif untuk mendorong ekspor dan impor Indonesia. @windri3868 Juara ! Pasti Lebih Baik https://t.co/VyMbIlC3nk,positif, Kombinasi visi Ganjar-Mahfud menciptakan momentum positif untuk mendorong ekspor dan impor Indonesia.  Juara ! Pasti Lebih Baik  ,17,kombinasi visi ganjar mahfud cipta momentum positif dorong ekspor impor indonesia juara
@majedub596 Hanya pasangan Anies - Muhaimin yang paling lengkap dan saling melengkapi.. yg di butuhkan Indonesia saat ini. Hanya Anies Baswedan yang mampu membawa Indonesia lebih baik dan lebih maju,netral,  Hanya pasangan Anies - Muhaimin yang paling lengkap dan saling melengkapi.. yang di butuhkan Indonesia saat ini. Hanya Anies Baswedan yang mampu membawa Indonesia lebih baik dan lebih maju ,29,pasang anies muhaimin lengkap lengkap butuh indonesia anies baswedan bawa indonesia maju
Bersama Anis-Muhaimin kita kembalikan posisi Indonesia sebagai Bangsa yang disegani dunia... #AMINAjaDulu #AniesUnggul #PakaiOtakHati @aniesbaswedan @cakimiNOW https://t.co/upNFim6YtV,netral, Bersama Anis-Muhaimin kita kembalikan posisi Indonesia sebagai Bangsa yang disegani dunia...       ,11,anies muhaimin kembali posisi indonesia bangsa segani dunia
Muhaimin Iskandar mengakhiri debat cawapres kedua Minggu malam 21 Januari 2024 dengan puas. Performanya jauh lebih baik daripada debat pertama pada 22 Desember 2024 lalu. https://t.co/HZx2uMLT1j,positif, Muhaimin Iskandar mengakhiri debat cawapres kedua Minggu malam 21 Januari 2024 dengan puas. Performanya jauh lebih baik daripada debat pertama pada 22 Desember 2024 lalu.  ,25,muhaimin iskandar debat cawapres minggu malam januari puas performa debat desember
@Megatop99 @yon_djawir Di tempat kami cm usil aja mas Gibran nya https://t.co/fZkH21BpXk,netral,   Di tempat kami cuma  usil saja mas Gibran nya  ,9,usil mas gibran nya
@Tita83079013 @aniesbaswedan @prabowo @ganjarpranowo Hm......gituh??? Abah komen dlm hati ajah nak! Soalnye....seyeemmmm!,netral,     Hm......gituh??? Abah komen dalam  hati saja nak! Soalnye....seyeemmmm! ,8,hem abah koman hati anak seyem
Memang Carbon Capture Storage relatif sesuatu yg baru untuk Indonesia. Tapi jawaban Prof Mahfud atas pertanyaan gibran soal itu 100% benar setahu saya mmg blm diatur nah untuk mengetahui bagaimana aturan nantinya maka diperlukan naskah akademik.,netral, Memang Carbon Capture Storage relatif sesuatu yang baru untuk Indonesia. Tapi jawaban Prof Mahfud atas pertanyaan gibran soal itu 100% benar setahu saya memang  belum  diatur nah untuk mengetahui bagaimana aturan nantinya maka diperlukan naskah akademik. ,36,karbon tangkap penyimpanan relatif indonesia profesor mahfud gibran tahu atur atur naskah akademik
