full_text,sentiment
@aewin86 Kapan lagi punya presiden hebat kayak pak Anis capek lihat Ganjar dan Prabowo yg goblok,negatif
Tujuannya counter Anies kemaren biar Anies ngomongin adab (tp jdnya ga valid karena Anies duluan) kira2 begitu https://t.co/OAD4yAaFBa,netral
@berlianidris @YantoThobenk Doa sepertiga malam dok..itu yg bisa sy lakukan saat ini..sy sebut aja nama pak Anies dan pk Muhaimin..In Syaa Allah diijabah Allah Azza Wajallah..Aamiin Yaa Robbal'alamin,netral
@FayaAtika sudah budhe. pakai etika pas duo cawapres diserang bocil sendirian. pakai gaya amrik waktu duo capres membully Prabowo.,netral
Ganjar-Mahfud memahami bahwa petugas pajak yang berintegritas adalah kunci utama untuk memberikan pelayanan yang baik kepada wajib pajak. @ssungbeann Hebat ! Sat Set https://t.co/VRBTs9OoH4,positif
@Dennysiregar7 KPU debat kelima suruh menemukan seluruh paslon. Biar ada kesempatan gibran vs anies vs ganjar biar greget pilpres 2024,netral
@DrEliDavid 12.500 belum yang mati lohh https://t.co/M8y3WwoFwl,netral
@VIVAcoid Kami juga yakin Prabowo Gibran bakal menang satu putaran,netral
@JackRey829815 @ekowboy2 kata ridwan kamil pendukung prabowo otaknya menengah kebawah dan elu contohnyaa ,netral
Nyerang sama adab itu dua hal yang berbeda. Gibran nyerangnya ngece pake gegayaan sih pantes aja dianggap ga beradab. Anies dan Ganjar nyerang B aja pake kritik kata-kata aja dianggap pendukung 02 ga beradab apalagi Gibran yang lebih parah gini? Pendukung 02 jangan standar ganda,netral
@amayeorobun Cocok disebut abah anies sangat bangga dengan gus imin seperti memeluk anaknya sendiri,positif
@realfedinuril Ketika bahtera rumah tangga sedang di uji oleh para grongi saatnya henshin! https://t.co/hNlguGmRfe https://t.co/UT4KGK20qg,netral
@Dahnilanzar @gibran_tweet dahnil juga ngomongnya kosong gk ada isinya...,netral
Gw gak tahu apakah debat kemaren menaikkan elektabilitas anies tapi gue yakin debat kemaren menurunkan drastis elektabilitas prabowo #debat,netral
Kombinasi visi Ganjar-Mahfud menciptakan momentum positif untuk mendorong ekspor dan impor Indonesia. @windri3868 Juara ! Pasti Lebih Baik https://t.co/VyMbIlC3nk,positif
@majedub596 Hanya pasangan Anies - Muhaimin yang paling lengkap dan saling melengkapi.. yg di butuhkan Indonesia saat ini. Hanya Anies Baswedan yang mampu membawa Indonesia lebih baik dan lebih maju,netral
Bersama Anis-Muhaimin kita kembalikan posisi Indonesia sebagai Bangsa yang disegani dunia... #AMINAjaDulu #AniesUnggul #PakaiOtakHati @aniesbaswedan @cakimiNOW https://t.co/upNFim6YtV,netral
Muhaimin Iskandar mengakhiri debat cawapres kedua Minggu malam 21 Januari 2024 dengan puas. Performanya jauh lebih baik daripada debat pertama pada 22 Desember 2024 lalu. https://t.co/HZx2uMLT1j,positif
@Megatop99 @yon_djawir Di tempat kami cm usil aja mas Gibran nya https://t.co/fZkH21BpXk,netral
@Tita83079013 @aniesbaswedan @prabowo @ganjarpranowo Hm......gituh??? Abah komen dlm hati ajah nak! Soalnye....seyeemmmm!,netral
Memang Carbon Capture Storage relatif sesuatu yg baru untuk Indonesia. Tapi jawaban Prof Mahfud atas pertanyaan gibran soal itu 100% benar setahu saya mmg blm diatur nah untuk mengetahui bagaimana aturan nantinya maka diperlukan naskah akademik.,netral
Sebanyak 43 9% pendukung Jokowi di 2019 memilih paslon dari Koalisi Indonesia Maju. Kemudian 35 2% mendukung Ganjar-Mahfud dan segelintir lainnya yakni 14 4% lainnya memilih Anies-Muhaimin.,netral
