NN,JJ,VB,RB,UH,NN_percentage,JJ_percentage,VB_percentage,RB_percentage,UH_percentage
5,1,3,1,0,0.3333333333333333,0.06666666666666667,0.2,0.06666666666666667,0.0
4,2,3,2,0,0.2222222222222222,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.0
5,0,3,1,0,0.19230769230769232,0.0,0.11538461538461539,0.038461538461538464,0.0
7,1,5,0,0,0.3888888888888889,0.05555555555555555,0.2777777777777778,0.0,0.0
5,3,3,0,0,0.22727272727272727,0.13636363636363635,0.13636363636363635,0.0,0.0
6,1,4,0,0,0.3,0.05,0.2,0.0,0.0
0,0,1,0,0,0.0,0.0,0.2,0.0,0.0
1,1,1,1,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0
6,1,1,2,0,0.5,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0
11,2,9,5,0,0.2391304347826087,0.043478260869565216,0.1956521739130435,0.10869565217391304,0.0
5,0,3,2,0,0.38461538461538464,0.0,0.23076923076923078,0.15384615384615385,0.0
3,1,1,1,0,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0
1,1,1,2,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0
7,2,3,0,0,0.3888888888888889,0.1111111111111111,0.16666666666666666,0.0,0.0
5,1,2,0,0,0.29411764705882354,0.058823529411764705,0.11764705882352941,0.0,0.0
2,3,3,4,0,0.06896551724137931,0.10344827586206896,0.10344827586206896,0.13793103448275862,0.0
2,0,2,0,0,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0
5,2,1,2,0,0.2,0.08,0.04,0.08,0.0
3,0,2,1,0,0.3333333333333333,0.0,0.2222222222222222,0.1111111111111111,0.0
2,0,0,1,0,0.25,0.0,0.0,0.125,0.0
7,3,4,1,0,0.19444444444444445,0.08333333333333333,0.1111111111111111,0.027777777777777776,0.0
4,0,3,1,0,0.14814814814814814,0.0,0.1111111111111111,0.037037037037037035,0.0
10,1,2,0,0,0.4,0.04,0.08,0.0,0.0
4,1,0,0,0,0.4444444444444444,0.1111111111111111,0.0,0.0,0.0
9,1,1,1,0,0.6,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0
5,1,3,1,0,0.17857142857142858,0.03571428571428571,0.10714285714285714,0.03571428571428571,0.0
