_length,_exclamation,_question,_quote,_capital
15,0,0,0,0
18,0,0,0,0
26,0,0,1,0
18,0,0,0,0
22,1,0,0,0
20,0,0,0,1
5,0,0,0,0
9,0,0,0,0
12,0,0,0,0
46,0,1,0,1
13,0,0,0,0
12,1,0,0,0
7,0,0,0,0
18,0,0,0,0
17,1,0,0,0
29,0,0,0,0
11,0,0,0,0
25,0,0,0,0
9,0,0,0,0
8,2,3,0,0
36,0,0,0,0
27,0,0,0,0
25,0,0,0,0
9,0,0,0,0
15,0,0,0,0
28,0,1,1,2
14,0,0,0,1
2,0,0,0,0
30,1,0,0,6
15,0,0,0,1
10,0,0,0,0
18,0,0,0,0
16,0,0,0,0
2,0,0,0,0
20,1,0,0,0
21,0,0,0,0
29,3,0,0,0
11,0,0,0,0
20,1,0,0,0
2,0,0,0,0
7,0,0,0,0
7,0,0,0,0
35,0,0,0,0
14,0,0,0,1
19,0,0,0,0
17,0,0,0,0
35,0,0,0,1
7,0,0,0,0
28,0,0,0,4
32,0,0,0,0
7,0,0,0,0
27,0,0,0,1
3,0,0,0,0
8,0,0,0,0
17,0,0,0,0
12,0,0,0,0
10,0,0,0,0
43,0,0,0,1
16,0,0,0,0
19,0,0,0,0
35,0,0,0,0
9,0,0,0,0
7,0,0,0,0
38,0,0,0,0
21,0,0,0,0
17,1,0,0,0
9,0,0,0,0
36,0,2,0,0
19,1,0,0,0
7,0,0,0,0
4,0,0,0,0
22,0,0,0,0
41,0,0,0,2
4,0,0,0,0
5,0,0,0,0
11,0,0,0,0
21,1,0,0,0
4,0,0,0,0
26,0,0,0,1
25,0,0,0,0
5,0,0,0,0
10,0,0,0,0
19,0,0,0,0
41,0,0,0,7
15,1,0,0,0
8,0,0,0,0
2,0,0,0,0
11,0,0,0,0
40,0,0,0,0
22,0,0,0,0
5,0,0,0,2
14,0,0,0,0
32,0,0,0,1
32,0,2,0,0
23,0,0,0,0
31,0,0,0,2
20,2,0,0,0
11,0,0,0,0
7,0,0,0,0
5,0,0,0,0
27,0,0,0,1
21,1,0,0,0
15,0,0,0,14
25,0,4,0,4
9,0,0,0,0
4,0,0,0,0
6,0,0,0,0
7,0,0,0,0
7,0,0,0,0
5,0,0,0,0
18,1,0,0,0
11,0,0,0,0
6,0,0,0,0
26,0,0,0,0
41,0,0,0,0
20,1,0,0,0
40,0,0,0,6
3,0,0,0,0
28,0,0,0,0
10,0,0,0,0
38,0,0,0,0
21,0,0,0,0
10,0,0,0,1
12,0,0,0,0
51,0,0,1,0
14,1,0,0,0
13,0,0,0,2
22,0,0,0,0
12,0,0,0,0
11,0,0,0,0
4,0,0,0,0
10,0,0,0,0
6,0,0,0,0
7,0,0,0,0
17,0,0,0,0
23,0,0,0,0
15,0,0,0,0
21,0,0,0,0
23,0,0,0,0
31,0,0,1,3
23,0,0,0,0
21,0,0,0,0
13,0,0,0,0
20,1,0,0,0
28,0,0,0,0
14,0,0,0,1
17,0,0,0,1
38,0,0,0,0
14,0,0,0,0
18,1,0,0,0
18,0,0,0,0
14,0,0,0,0
9,0,4,0,1
11,0,0,0,0
28,0,0,0,0
25,0,0,0,0
30,0,0,0,2
20,1,0,0,0
41,1,1,0,1
22,0,1,0,1
10,0,0,0,0
41,0,0,0,1
27,0,0,0,0
4,0,0,0,3
27,0,0,0,0
8,0,0,0,0
14,0,0,0,1
4,0,0,0,0
15,0,0,0,0
14,0,0,0,0
44,0,2,0,0
4,0,0,0,0
9,0,0,0,0
30,0,0,0,0
13,0,0,0,0
3,0,0,0,0
18,0,0,0,0
4,0,0,0,0
13,0,0,0,0
8,1,0,0,0
29,0,0,0,0
7,0,2,0,0
19,1,0,0,0
10,0,0,0,0
8,0,0,0,0
44,0,0,0,0
20,1,0,0,0
19,0,2,0,12
12,0,0,0,0
21,0,0,0,0
15,0,0,0,0
9,0,0,0,0
19,0,3,0,0
28,0,1,0,0
44,0,0,0,1
28,0,0,0,0
19,0,0,0,0
16,0,0,0,1
14,0,0,0,0
14,1,0,0,0
26,0,0,0,0
23,0,0,0,0
12,0,0,0,0
37,0,1,0,0
10,0,0,0,0
14,0,0,0,0
67,0,0,0,1
16,0,0,0,0
3,1,0,0,0
12,0,0,0,0
9,0,0,0,0
25,0,0,0,0
26,0,0,0,2
5,0,0,0,0
8,0,0,0,0
3,0,0,0,0
4,0,0,0,0
49,0,0,0,0
25,0,1,0,0
14,0,0,0,0
11,0,0,0,0
21,0,0,0,0
16,1,0,0,1
5,0,0,0,0
14,0,0,0,0
24,0,0,0,2
13,0,0,0,6
35,0,0,0,2
22,0,0,0,1
15,0,0,0,0
18,1,0,0,0
4,0,0,0,0
12,0,0,0,0
13,0,0,0,1
18,0,0,0,0
10,0,0,0,1
14,0,0,0,0
11,0,0,0,0
26,1,0,0,0
31,0,0,0,0
13,0,0,0,0
6,0,0,0,0
18,0,0,0,0
6,0,0,0,0
6,0,0,0,0
6,0,0,0,0
15,0,0,0,0
18,0,0,0,1
19,1,0,0,0
20,1,0,0,0
7,0,2,0,0
8,0,0,0,0
31,0,0,1,3
24,0,0,0,0
25,0,0,0,1
8,0,0,0,0
40,0,0,0,2
12,0,0,0,0
8,0,0,0,0
24,0,0,0,0
18,0,0,0,0
11,0,0,0,0
33,0,0,0,1
36,0,0,0,0
14,0,0,0,0
5,0,0,0,1
11,0,0,0,0
19,1,0,0,0
22,0,0,0,0
12,0,1,0,0
27,0,0,0,0
20,0,0,0,0
25,0,0,0,0
34,1,1,0,2
10,0,0,0,1
8,0,0,0,0
25,0,0,0,0
27,0,0,0,1
19,0,0,0,0
10,0,0,0,0
16,0,0,0,2
40,0,0,0,0
9,0,0,0,0
8,0,0,0,0
2,0,0,0,0
20,1,0,0,0
17,0,0,0,0
18,0,0,0,0
28,0,0,0,0
13,0,0,0,0
19,0,0,0,0
7,1,0,0,0
16,1,0,0,0
27,0,2,0,0
18,4,0,0,2
16,0,0,0,0
13,0,0,0,1
3,0,1,0,0
28,0,0,0,2
5,0,0,0,0
9,1,0,0,0
13,1,0,0,0
16,0,0,0,0
13,0,0,0,0
8,0,0,0,0
9,0,0,0,0
6,0,0,0,0
18,0,0,0,0
32,0,0,0,0
